VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 12:32:17 AM,01/01/2016 12:40:13 AM,N,1,-73.9515380859375,40.743122100830078,-73.957572937011719,40.722248077392578,1,1.86,8.5,0.5,0.5,2.45,0,,0.3,12.25,1,1,,
2,01/01/2016 12:25:59 AM,01/01/2016 12:39:47 AM,N,1,-73.989311218261719,40.7015380859375,-73.962806701660156,40.679988861083984,1,3.44,13,0.5,0.5,0,0,,0.3,14.3,2,1,,
2,01/01/2016 12:34:15 AM,01/01/2016 12:40:50 AM,N,1,-73.93597412109375,40.686405181884766,-73.955711364746094,40.681285858154297,1,1.38,7,0.5,0.5,1,0,,0.3,9.3,1,1,,
2,01/01/2016 12:24:23 AM,01/01/2016 12:40:09 AM,N,1,-73.873252868652344,40.734596252441406,-73.884613037109375,40.755596160888672,1,2.72,13,0.5,0.5,0,0,,0.3,14.3,2,1,,
2,01/01/2016 12:38:34 AM,01/01/2016 12:40:19 AM,N,1,-73.95318603515625,40.803531646728516,-73.955734252929687,40.806293487548828,1,0.26,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,,
2,01/01/2016 12:36:33 AM,01/01/2016 12:39:55 AM,N,1,-73.915168762207031,40.764003753662109,-73.924598693847656,40.768386840820312,1,0.6,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,,
2,01/01/2016 12:26:12 AM,01/01/2016 12:39:14 AM,N,1,-73.941177368164062,40.813694000244141,-73.915489196777344,40.805973052978516,1,1.68,10,0.5,0.5,0,0,,0.3,11.3,2,1,,
2,01/01/2016 12:36:45 AM,01/01/2016 12:40:36 AM,N,1,-73.896400451660156,40.746185302734375,-73.897689819335938,40.738162994384766,1,0.64,5,0.5,0.5,0,0,,0.3,6.3,2,1,,
2,01/01/2016 12:36:10 AM,01/01/2016 12:40:12 AM,N,1,-73.908683776855469,40.764904022216797,-73.914253234863281,40.753993988037109,1,0.94,5,0.5,0.5,0,0,,0.3,6.3,2,1,,
2,01/01/2016 12:13:00 AM,01/01/2016 12:40:59 AM,N,1,-73.966529846191406,40.711318969726563,-73.991744995117188,40.748893737792969,1,5.86,23.5,0.5,0.5,4.96,0,,0.3,29.76,1,1,,
